File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
adv_brochures_2020_oct.zip_extracted\104518_340041_1_20201023_fees_section.txt.txt,No,,"$0 - $500,000 (0.12% - 0.50%) [VERIFIED]","$0 - $500,000 (0.25% - 1.00%) [VERIFIED]",,,,,"$0 - $500,000 (0% - 1.75%) [VERIFIED]",No,Yes,No,"3,4,9",1,1,39,9664,104518,340041,2020-10-23,oct,2020,False,,,,,0.005,False,,,,False,0.0012,0.005,0.0012,True,0.0,500000.0,,False,0.0025,0.01,,True,0.0,500000.0,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0.0175,,True,0.0,500000.0,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0, 0.0012), (2, 0, 0.0025), (3, 0, 0.0)], [(1, 0, 0.005), (2, 0, 0.01), (3, 0, 0.0175)]]",2,0.0,0.0,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104559_339423_1_20201001_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,8,1087,104559,339423,2020-10-01,oct,2020,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104612_308122_4_20201007_fees_section.txt.txt,No,"$0 - $250,000 (2.75%) [VERIFIED]","$250,001 - $500,000 (2.50%) [VERIFIED]","$500,001 - $2,000,000 (2.25%) [VERIFIED]","$2,000,001 - $5,000,000 (2.00%) [VERIFIED]","$5,000,001+ (1.75%) [VERIFIED]",,,,No,Yes,No,"2,3,4,5,6",13,27,73,12037,104612,308122,2020-10-07,oct,2020,False,,,0.0275,0.0275,0.0275,False,0.0,250000.0,,False,0.025,0.025,0.025,False,250001.0,500000.0,,False,0.0225,0.0225,0.0225,False,500001.0,2000000.0,,False,0.02,0.02,0.02,False,2000001.0,5000000.0,,False,0.0175,0.0175,0.0175,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.0275), (2, 250001.0, 0.025), (3, 500001.0, 0.0225), (4, 2000001.0, 0.02)], [(5, 0.0, 0.0175)]]",2,0.0175,0.0175,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104627_96272_19_20201009_fees_section.txt.txt,No,"$0 - $500,000 (1.20%) [VERIFIED]","$500,001 - $1,000,000 (1.00%) [VERIFIED]","$1,000,001+ (0.80%) [VERIFIED]","$0 - $5,000,000 (0.50%) [VERIFIED]","$5,000,001 - $20,000,000 (0.30%) [VERIFIED]","$20,000,001+ (0.25%) [VERIFIED]",,$0+ (0.80%) [VERIFIED],"$500,000 [VERIFIED]",Yes,No,"2,3,4,5,6,7,9,10",14,10,28,3389,104627,96272,2020-10-09,oct,2020,False,,,0.012,0.012,0.012,False,0.0,500000.0,,False,0.01,0.01,0.01,False,500001.0,1000000.0,,False,0.008,0.008,0.008,False,0.0,inf,1000001.0,True,0.005,0.005,0.005,False,0.0,5000000.0,,False,0.003,0.003,0.003,False,5000001.0,20000000.0,,False,0.0025,0.0025,0.0025,False,0.0,inf,20000001.0,True,,,,False,,,,False,0.008,0.008,0.008,False,0.0,inf,0.0,True,500000.0,1,1,0.0,0.6153846153846154,"[[(1, 0.0, 0.012), (2, 500001.0, 0.01)], [(3, 0.0, 0.008)], [(4, 0.0, 0.005), (5, 5000001.0, 0.003)], [(6, 0.0, 0.0025)], [(8, 0.0, 0.008)]]",5,0.0025,0.0025,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104645_339734_1_20201014_fees_section.txt.txt,No,"$0 - $2,000,000 (1.00%) [VERIFIED]","$2,000,001 - $5,000,000 (0.75%) [VERIFIED]","$5,000,001+ (0.50%) [VERIFIED]","$0 - $1,000,000 (1.00%) [VERIFIED]","$1,000,001 - $5,000,000 (0.75%) [VERIFIED]","$5,000,001+ (0.50%) [VERIFIED]","$0 - $3,000,000 (0.49%) [VERIFIED]","$3,000,001 - $6,000,000 (0.29%) [VERIFIED]",No,No,No,"2,3,4,5,6,7,8,9",12,21,74,13177,104645,339734,2020-10-14,oct,2020,False,,,0.01,0.01,0.01,False,0.0,2000000.0,,False,0.0075,0.0075,0.0075,False,2000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,0.01,0.01,0.01,False,0.0,1000000.0,,False,0.0075,0.0075,0.0075,False,1000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,0.0049,0.0049,0.0049,False,0.0,3000000.0,,False,0.0029,0.0029,0.0029,False,3000001.0,6000000.0,,False,0.0,0,0,0.0,0.6153846153846154,"[[(1, 0.0, 0.01), (2, 2000001.0, 0.0075)], [(3, 0.0, 0.005)], [(4, 0.0, 0.01), (5, 1000001.0, 0.0075)], [(6, 0.0, 0.005)], [(7, 0.0, 0.0049), (8, 3000001.0, 0.0029)]]",5,0.0049,0.0041000004000000005,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104780_330629_2_20201021_fees_section.txt.txt,No,"$0 - $1,000,000 (1%) [VERIFIED]","$1,000,001 - $2,000,000 (0.90%) [VERIFIED]","$2,000,001 - $3,000,000 (0.80%) [VERIFIED]","$3,000,001 - $4,000,000 (0.70%) [VERIFIED]","$4,000,001 - $5,000,000 (0.60%) [VERIFIED]","$5,000,001+ (0.50%) [VERIFIED]",,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,5,6,7,10",6,8,18,2476,104780,330629,2020-10-21,oct,2020,False,,,0.01,0.01,0.01,False,0.0,1000000.0,,False,0.009000000000000001,0.009000000000000001,0.009000000000000001,False,1000001.0,2000000.0,,False,0.008,0.008,0.008,False,2000001.0,3000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,3000001.0,4000000.0,,False,0.006,0.006,0.006,False,4000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,100000.0,1,1,0.0,0.5384615384615384,"[[(1, 0.0, 0.01), (2, 1000001.0, 0.009000000000000001), (3, 2000001.0, 0.008), (4, 3000001.0, 0.006999999999999999), (5, 4000001.0, 0.006)], [(6, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104853_108656_11_20201022_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,22,0,37,5686,104853,108656,2020-10-22,oct,2020,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104859_287375_7_20201022_fees_section.txt.txt,No,"$0 - $25,000,000 (0.60%) [VERIFIED]","$25,000,001 - $50,000,000 (0.50%) [VERIFIED]","$50,000,001 - $100,000,000 (0.42%) [VERIFIED]","$100,000,001 - $200,000,000 (0.35%) [VERIFIED]","$200,000,001 - $500,000,000 (0.30%) [VERIFIED]","$500,000,001+ (0.25%) [VERIFIED]",,,"$25,000,000 [VERIFIED]",Yes,No,"2,3,4,5,6,7,10",98,103,62,15594,104859,287375,2020-10-22,oct,2020,False,,,0.006,0.006,0.006,False,0.0,25000000.0,,False,0.005,0.005,0.005,False,25000001.0,50000000.0,,False,0.0042,0.0042,0.0042,False,50000001.0,100000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,100000001.0,200000000.0,,False,0.003,0.003,0.003,False,200000001.0,500000000.0,,False,0.0025,0.0025,0.0025,False,0.0,inf,500000001.0,True,,,,False,,,,False,,,,False,,,,False,25000000.0,1,1,0.0,0.5384615384615384,"[[(1, 0.0, 0.006), (2, 25000001.0, 0.005), (3, 50000001.0, 0.0042), (4, 100000001.0, 0.0034999999999999996), (5, 200000001.0, 0.003)], [(6, 0.0, 0.0025)]]",2,0.0025,0.0025,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\104947_41054_15_20201016_fees_section.txt.txt,"""No fee information available.""",,,,,,,,,,,,,0,0,14,1724,104947,41054,2020-10-16,oct,2020,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.0,[],0,,,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
adv_brochures_2020_oct.zip_extracted\105195_38362_13_20201005_fees_section.txt.txt,"$20,000 [VERIFIED]","$0 - $2,000,000 ($20,000) [VERIFIED]","$2,000,001 - $3,000,000 (1.00%) [VERIFIED]","$3,000,001 - $10,000,000 (0.75%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]",,,,,"$2,000,000 [VERIFIED]",Yes,No,"1,2,3,4,5,10",4,10,24,3085,105195,38362,2020-10-05,oct,2020,"$20,000 [VERIFIED]",20000.0,"$20,000 [VERIFIED]",,,,False,0.0,2000000.0,,False,0.01,0.01,0.01,False,2000001.0,3000000.0,,False,0.0075,0.0075,0.0075,False,3000001.0,10000000.0,,False,0.005,0.005,0.005,False,0.0,inf,10000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,2000000.0,1,1,0.0,0.46153846153846156,"[[(2, 2000001.0, 0.01), (3, 3000001.0, 0.0075)], [(4, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:29:11,fee_analysis_adv_brochures_2020_oct.zip_extracted.csv
