File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
adv_brochures_2020_sep.zip_extracted\101080_52019_24_20200925_fees_section.txt.txt,No,"$0 - $999,999.99 (2.00%) [VERIFIED]","$1,000,000 - $4,999,999.99 (1.75%) [VERIFIED]","$5,000,000 - $9,999,999.99 (1.50%) [VERIFIED]","$10,000,000+ (1.25%) [VERIFIED]","$0 - $9,999,999.99 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]","$0 - $2,999,999.99 (1.00%) [VERIFIED]","$3,000,000 - $9,999,999.99 (0.60%) [VERIFIED]","$10,000,000+ (0.40%) [VERIFIED]",No,"2,3,4,5,6,7,8,9,10,11",18,26,103,24773,101080,52019,2020-09-25,sep,2020,False,,,0.02,0.02,0.02,False,0.0,999999.99,,False,0.0175,0.0175,0.0175,False,1000000.0,4999999.99,,False,0.015,0.015,0.015,False,5000000.0,9999999.99,,False,0.0125,0.0125,0.0125,False,0.0,inf,10000000.0,True,0.002,0.002,0.002,False,0.0,9999999.99,,False,0.0015,0.0015,0.0015,False,10000000.0,19999999.99,,False,0.001,0.001,0.001,False,0.0,inf,20000000.0,True,0.01,0.01,0.01,False,0.0,2999999.99,,False,3000000.0,1,0,0.0,0.7692307692307693,"[[(1, 0.0, 0.02), (2, 1000000.0, 0.0175), (3, 5000000.0, 0.015)], [(4, 0.0, 0.0125)], [(5, 0.0, 0.002), (6, 10000000.0, 0.0015)], [(7, 0.0, 0.001)], [(8, 0.0, 0.01)]]",5,0.001,0.001,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\1037_339248_1_20200928_fees_section.txt.txt,$125 [VERIFIED],"$0 - $500,000 (0.75%) [VERIFIED]","$500,001 - $1,000,000 (0.55%) [VERIFIED]","$1,000,001 - $5,000,000 (0.35%) [VERIFIED]","$5,000,001 - $7,500,000 (0.30%) [VERIFIED]","$7,500,001 - $15,000,000 (0.25%) [VERIFIED]","$15,000,001+ (0.20%) [VERIFIED]","$100,000 - $187,500 (0.20% - 0.375%) [VERIFIED]",,No,Yes,No,"1,2,3,4,5,6,7,8",14,22,39,6921,1037,339248,2020-09-28,sep,2020,$125 [VERIFIED],125.0,$125 [VERIFIED],0.0075,0.0075,0.00375,False,0.0,500000.0,,False,0.0055000000000000005,0.0055000000000000005,0.002,False,500001.0,1000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,1000001.0,5000000.0,,False,0.003,0.003,0.003,False,5000001.0,7500000.0,,False,0.0025,0.0025,0.0025,False,7500001.0,15000000.0,,False,0.002,0.002,0.002,False,0.0,inf,15000001.0,True,0.002,0.00375,,True,100000.0,187500.0,,False,,,,False,,,,False,0.0,0,1,0.0,0.6153846153846154,"[[(1, 0, 0.002)]]",1,0.002,0.002,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104556_338802_1_20200911_fees_section.txt.txt,No,"$0 - $500,000 (1.00%) [VERIFIED]","$500,001 - $3,000,000 (0.75%) [VERIFIED]","$3,000,001 - $5,000,000 (0.50%) [VERIFIED]","$5,000,001 - $10,000,000 (0.40%) [VERIFIED]","$10,000,001+ (Negotiable) [VERIFIED]",,,,"$25,000 [VERIFIED]",Yes,No,"2,3,4,5,6,10",36,41,273,67937,104556,338802,2020-09-11,sep,2020,False,,,0.01,0.01,0.01,False,0.0,500000.0,,False,0.0075,0.0075,0.0075,False,500001.0,3000000.0,,False,0.005,0.005,0.005,False,3000001.0,5000000.0,,False,0.004,0.004,0.004,False,5000001.0,10000000.0,,False,,,,False,10000001.0,inf,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,25000.0,1,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.01), (2, 500001.0, 0.0075), (3, 3000001.0, 0.005), (4, 5000001.0, 0.004)]]",1,0.008750002500000001,0.006750001000000001,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104557_61958_13_20200926_fees_section.txt.txt,No,"$0 - $249,999 (1.25%) [VERIFIED]","$250,000 - $749,999 (1.00%) [VERIFIED]","$750,000 - $1,249,999 (0.85%) [VERIFIED]","$1,250,000 - $1,749,999 (0.80%) [VERIFIED]","$1,750,000+ (Negotiable) [VERIFIED]",,,,No,Yes,No,"2,3,4,5,6",8,12,28,5707,104557,61958,2020-09-26,sep,2020,False,,,0.0125,0.0125,0.0125,False,0.0,249999.0,,False,0.01,0.01,0.01,False,250000.0,749999.0,,False,0.0085,0.0085,0.0085,False,750000.0,1249999.0,,False,0.008,0.008,0.008,False,1250000.0,1749999.0,,False,,,,False,1750000.0,inf,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.0125), (2, 250000.0, 0.01), (3, 750000.0, 0.0085), (4, 1250000.0, 0.008)]]",1,0.01025,0.008475,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104604_75451_24_20200902_fees_section.txt.txt,No,"$0 - $5,000,000 (0.875%) [VERIFIED]","$5,000,001 - $10,000,000 (0.625%) [VERIFIED]","$10,000,001 - $15,000,000 (0.500%) [VERIFIED]","$15,000,001 - $20,000,000 (0.450%) [VERIFIED]","$20,000,001 - $30,000,000 (0.520%) [VERIFIED]","$30,000,001 - $50,000,000 (0.400%) [VERIFIED]","$50,000,000+ (0.450%) [VERIFIED]",,"$20,000,000 [VERIFIED]",Yes,"$50,000,000 [VERIFIED]","2,3,4,5,6,7,8,10,12",67,43,54,22876,104604,75451,2020-09-02,sep,2020,False,,,0.00875,0.00875,0.00875,False,0.0,5000000.0,,False,0.00625,0.00625,0.00625,False,5000001.0,10000000.0,,False,0.005,0.005,0.005,False,10000001.0,15000000.0,,False,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,False,15000001.0,20000000.0,,False,0.0052,0.0052,0.0052,False,20000001.0,30000000.0,,False,0.004,0.004,0.004,False,30000001.0,50000000.0,,False,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,False,0.0,inf,50000000.0,True,,,,False,,,,False,20000000.0,1,1,50000000.0,0.6923076923076923,"[[(1, 0.0, 0.00875), (2, 5000001.0, 0.00625), (3, 10000001.0, 0.005), (4, 15000001.0, 0.0045000000000000005), (5, 20000001.0, 0.0052), (6, 30000001.0, 0.004)], [(7, 0.0, 0.0045000000000000005)]]",2,0.0045000000000000005,0.0045000000000000005,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104875_134063_15_20200904_fees_section.txt.txt,No,"$0 - $2,000,000 (1.15%) [VERIFIED]","$2,000,001 - $5,000,000 (0.95%) [VERIFIED]","$5,000,001 - $10,000,000 (0.65%) [VERIFIED]","$10,000,001+ (0.35%) [VERIFIED]",,,,,"$500,000 [VERIFIED]",Yes,No,"2,3,4,5,10",4,5,69,11624,104875,134063,2020-09-04,sep,2020,False,,,0.0115,0.0115,0.0115,False,0.0,2000000.0,,False,0.0095,0.0095,0.0095,False,2000001.0,5000000.0,,False,0.006500000000000001,0.006500000000000001,0.006500000000000001,False,5000001.0,10000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,0.0,inf,10000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,500000.0,1,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.0115), (2, 2000001.0, 0.0095), (3, 5000001.0, 0.006500000000000001)], [(4, 0.0, 0.0034999999999999996)]]",2,0.0034999999999999996,0.0035,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104925_294202_5_20200902_fees_section.txt.txt,No,"$0 - $500,000 (1.25%) [VERIFIED]","$500,001 - $1,000,000 (1.00%) [VERIFIED]","$1,000,001+ (0.75%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,10",18,50,81,88706,104925,294202,2020-09-02,sep,2020,False,,,0.0125,0.0125,0.0125,False,0.0,500000.0,,False,0.01,0.01,0.01,False,500001.0,1000000.0,,False,0.0075,0.0075,0.0075,False,0.0,inf,1000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,100000.0,1,1,0.0,0.3076923076923077,"[[(1, 0.0, 0.0125), (2, 500001.0, 0.01)], [(3, 0.0, 0.0075)]]",2,0.0075,0.0075,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104925_294202_6_20200903_fees_section.txt.txt,No,"$0 - $500,000 (1.25%) [VERIFIED]","$500,001 - $1,000,000 (1.00%) [VERIFIED]","$1,000,001+ (0.75%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,10",18,50,81,88706,104925,294202,2020-09-03,sep,2020,False,,,0.0125,0.0125,0.0125,False,0.0,500000.0,,False,0.01,0.01,0.01,False,500001.0,1000000.0,,False,0.0075,0.0075,0.0075,False,0.0,inf,1000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,100000.0,1,1,0.0,0.3076923076923077,"[[(1, 0.0, 0.0125), (2, 500001.0, 0.01)], [(3, 0.0, 0.0075)]]",2,0.0075,0.0075,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\104932_77172_13_20200918_fees_section.txt.txt,No,"$0 - $500,000 (1.00%) [VERIFIED]","$500,001 - $1,000,000 (0.75%) [VERIFIED]","$1,000,001+ (0.50%) [VERIFIED]",,,,,,$500 [VERIFIED],Yes,No,"2,3,4,10",13,16,77,26358,104932,77172,2020-09-18,sep,2020,False,,,0.01,0.01,0.01,False,0.0,500000.0,,False,0.0075,0.0075,0.0075,False,500001.0,1000000.0,,False,0.005,0.005,0.005,False,0.0,inf,1000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,500.0,1,1,0.0,0.3076923076923077,"[[(1, 0.0, 0.01), (2, 500001.0, 0.0075)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
adv_brochures_2020_sep.zip_extracted\105002_40905_13_20200916_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,16,5779,105002,40905,2020-09-16,sep,2020,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:12,fee_analysis_adv_brochures_2020_sep.zip_extracted.csv
