File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
adv_brochures_2021_may.zip_extracted\104189_65978_14_20210505_fees_section.txt.txt,No,,,,,,,,$0+ (0.50% - 1.50%) [VERIFIED],No,Yes,No,9,2,0,43,6469,104189,65978,2021-05-05,may,2021,False,,,,,0.015,False,,,,False,,,0.005,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.005,0.015,,True,0.0,inf,0.0,True,0.0,1,1,0.0,0.07692307692307693,"[[(1, 0, 0.005)]]",1,0.005,0.005,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\104636_74967_11_20210505_fees_section.txt.txt,No,"$0 - $40,000,000 (0.40%) [VERIFIED]","$40,000,001+ (0.15%) [VERIFIED]",,,,,,,No,Yes,No,"2,3",2,3,17,1833,104636,74967,2021-05-05,may,2021,False,,,0.004,0.004,0.004,False,0.0,40000000.0,,False,0.0015,0.0015,0.0015,False,0.0,inf,40000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.15384615384615385,"[[(1, 0.0, 0.004)], [(2, 0.0, 0.0015)]]",2,0.0015,0.0015,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\104720_309987_8_20210510_fees_section.txt.txt,No,"$100,000 - $250,000 (0.75%) [VERIFIED]","$250,001+ (0.60%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,,"2,3,9",2,40,80,124489,104720,309987,2021-05-10,may,2021,False,,,0.0075,0.0075,0.0075,False,100000.0,250000.0,,False,0.006,0.006,0.006,False,0.0,inf,250001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,100000.0,100000.0,,False,0.0,0,0,0.0,0.23076923076923078,"[[(1, 100000.0, 0.0075)], [(2, 0.0, 0.006)]]",2,0.006,0.006,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\104926_351139_2_20210518_fees_section.txt.txt,Flat Rate (1.50% / No) [VERIFIED],,,,,,,,,"$1,000,000 [VERIFIED]",Yes,No,"1,10",2,6,146,25788,104926,351139,2021-05-18,may,2021,Flat Rate (1.50% / No) [VERIFIED],0.015,Flat Rate (1.50% / No) [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,1000000.0,1,1,0.0,0.15384615384615385,[],0,,,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\104926_351140_2_20210518_fees_section.txt.txt,Flat Rate (1.50%) [VERIFIED],,,,,,,,,"$1,000,000 [VERIFIED]",Yes,No,"1,10",1,4,113,21131,104926,351140,2021-05-18,may,2021,Flat Rate (1.50%) [VERIFIED],0.015,Flat Rate (1.50%) [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,1000000.0,1,1,0.0,0.15384615384615385,[],0,,,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\104969_65642_17_20210528_fees_section.txt.txt,No,"$0 - $5,000,000 (1.00%) [VERIFIED]","$5,000,001 - $10,000,000 (0.75%) [VERIFIED]","$10,000,001 - $25,000,000 (0.50%) [VERIFIED]","$25,000,001+ (0.40%) [VERIFIED]",,,,"$0 - $5,000,000 (0.18% - 1.50%) [VERIFIED]",No,Yes,No,"2,3,4,5,9",6,3,34,3585,104969,65642,2021-05-28,may,2021,False,,,0.01,0.01,0.015,False,0.0,5000000.0,,False,0.0075,0.0075,0.0018,False,5000001.0,10000000.0,,False,0.005,0.005,0.005,False,10000001.0,25000000.0,,False,0.004,0.004,0.004,False,0.0,inf,25000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0018,0.015,,True,0.0,5000000.0,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0, 0.0018)]]",1,0.0018,0.0018,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105247_256124_17_20210501_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,2317,105247,256124,2021-05-01,may,2021,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105247_256124_18_20210503_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,2269,105247,256124,2021-05-03,may,2021,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105350_321485_4_20210520_fees_section.txt.txt,No,,,,,,,,"$0 - $100,000 (2.25%) [VERIFIED]","$25,000 [VERIFIED]",Yes,"""No fee information available""","9,10",7,10,60,10404,105350,321485,2021-05-20,may,2021,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0225,0.0225,0.0225,False,0.0,100000.0,,False,25000.0,1,1,0.0,0.15384615384615385,"[[(8, 0.0, 0.0225)]]",1,0.0225,0.0225,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105363_353206_1_20210525_fees_section.txt.txt,No,"$0 - $500,000 (2%) [VERIFIED]","$500,001 - $750,000 (1.5%) [VERIFIED]","$750,001 - $1,000,000 (1.2%) [VERIFIED]","$1,000,001 - $1,499,999 (1%) [VERIFIED]","$1,500,000 - $1,999,999 (0.9%) [VERIFIED]","$2,000,000 - $2,499,999 (0.8%) [VERIFIED]","$2,500,000+ (Negotiable) [VERIFIED]",,No,Yes,"$2,500,000 [VERIFIED]","2,3,4,5,6,7,8,12",13,24,70,13488,105363,353206,2021-05-25,may,2021,False,,,0.02,0.02,0.02,False,0.0,500000.0,,False,0.015,0.015,0.015,False,500001.0,750000.0,,False,0.012,0.012,0.012,False,750001.0,1000000.0,,False,0.01,0.01,0.01,False,1000001.0,1499999.0,,False,0.009000000000000001,0.009000000000000001,0.009000000000000001,False,1500000.0,1999999.0,,False,0.008,0.008,0.008,False,2000000.0,2499999.0,,False,,,,False,2500000.0,inf,,False,,,,False,,,,False,0.0,0,1,2500000.0,0.6153846153846154,"[[(1, 0.0, 0.02), (2, 500001.0, 0.015), (3, 750001.0, 0.012), (4, 1000001.0, 0.01), (5, 1500000.0, 0.009000000000000001), (6, 2000000.0, 0.008)]]",1,0.016750008,0.010050002,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105414_345732_2_20210503_fees_section.txt.txt,No,"$0 - $2,000,000 (0.750%) [VERIFIED]","$2,000,001 - $5,000,000 (0.500%) [VERIFIED]","$5,000,001+ (0.375%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",3,5,29,5085,105414,345732,2021-05-03,may,2021,False,,,0.0075,0.0075,0.0075,False,0.0,2000000.0,,False,0.005,0.005,0.005,False,2000001.0,5000000.0,,False,0.00375,0.00375,0.00375,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.0075), (2, 2000001.0, 0.005)], [(3, 0.0, 0.00375)]]",2,0.00375,0.00375,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105441_352738_1_20210510_fees_section.txt.txt,"$5,000 [VERIFIED]","$0 - $7,500,000 (0.65%) [VERIFIED]","$7,500,001 - $15,000,000 (0.40%) [VERIFIED]","$15,000,001 - $25,000,000 (0.30%) [VERIFIED]","$25,000,000+ (0.25%) [VERIFIED]",,,,,$0 [VERIFIED],Yes,No,"1,2,3,4,5,10",4,9,49,7624,105441,352738,2021-05-10,may,2021,"$5,000 [VERIFIED]",5000.0,"$5,000 [VERIFIED]",0.006500000000000001,0.006500000000000001,0.006500000000000001,False,0.0,7500000.0,,False,0.004,0.004,0.004,False,7500001.0,15000000.0,,False,0.003,0.003,0.003,False,15000001.0,25000000.0,,False,0.0025,0.0025,0.0025,False,0.0,inf,25000000.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,1,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.006500000000000001), (2, 7500001.0, 0.004), (3, 15000001.0, 0.003)], [(4, 0.0, 0.0025)]]",2,0.0025,0.0025,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105519_353300_1_20210528_fees_section.txt.txt,No,"$0 - $15,000,000 (0.75%) [VERIFIED]","$15,000,001 - $25,000,000 (0.55%) [VERIFIED]","$25,000,001 - $100,000,000 (0.45%) [VERIFIED]","$100,000,001 - $200,000,000 (0.35%) [VERIFIED]","$200,000,001 - $1,000,000,000 (0.25%) [VERIFIED]","$1,000,000,001+ (0.15%) [VERIFIED]",,,No,Yes,No,"2,3,4,5,6,7",94,91,10,5592,105519,353300,2021-05-28,may,2021,False,,,0.0075,0.0075,0.0075,False,0.0,15000000.0,,False,0.0055000000000000005,0.0055000000000000005,0.0055000000000000005,False,15000001.0,25000000.0,,False,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,False,25000001.0,100000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,100000001.0,200000000.0,,False,0.0025,0.0025,0.0025,False,200000001.0,1000000000.0,,False,0.0015,0.0015,0.0015,False,0.0,inf,1000000001.0,True,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.0075), (2, 15000001.0, 0.0055000000000000005), (3, 25000001.0, 0.0045000000000000005), (4, 100000001.0, 0.0034999999999999996), (5, 200000001.0, 0.0025)], [(6, 0.0, 0.0015)]]",2,0.0015,0.0015,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105622_70464_13_20210512_fees_section.txt.txt,No,"$100,000 - $2,000,000 (1.00%) [VERIFIED]","$2,000,001 - $5,000,000 (0.75%) [VERIFIED]","$5,000,001+ (0.50%) [VERIFIED]",,,,,,"$1,000,000 [VERIFIED]",Yes,No,"2,3,4,10",4,6,19,3827,105622,70464,2021-05-12,may,2021,False,,,0.01,0.01,0.01,False,100000.0,2000000.0,,False,0.0075,0.0075,0.0075,False,2000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,1000000.0,1,1,0.0,0.3076923076923077,"[[(1, 100000.0, 0.01), (2, 2000001.0, 0.0075)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105643_102893_24_20210504_fees_section.txt.txt,No,"$0 - $1,000,000 (1.50%) [VERIFIED]","$1,000,001+ (0.75%) [VERIFIED]",,,,,,,"$1,000,000 [VERIFIED]",Yes,"$1,000,000 [VERIFIED]","2,3,10,12",3,8,31,3653,105643,102893,2021-05-04,may,2021,False,,,0.015,0.015,0.015,False,0.0,1000000.0,,False,0.0075,0.0075,0.0075,False,0.0,inf,1000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,1000000.0,1,1,1000000.0,0.3076923076923077,"[[(1, 0.0, 0.015)], [(2, 0.0, 0.0075)]]",2,0.0075,0.0075,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
adv_brochures_2021_may.zip_extracted\105724_331331_3_20210503_fees_section.txt.txt,"""No fee information available.""",,,,,,,,,,,,,0,0,68,12489,105724,331331,2021-05-03,may,2021,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.0,[],0,,,2025-05-08 10:29:19,fee_analysis_adv_brochures_2021_may.zip_extracted.csv
