File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
adv_brochures_2022_aug.zip_extracted\10409_273030_21_20220822_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,11,12,249,42673,10409,273030,2022-08-22,aug,2022,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\10409_68277_50_20220822_fees_section.txt.txt,No,"$0 - $250,000 (1.40%) [VERIFIED]","$250,001 - $500,000 (1.05%) [VERIFIED]","$500,001 - $1,000,000 (0.70%) [VERIFIED]","$1,000,001 - $2,000,000 (0.60%) [VERIFIED]","$2,000,001+ (0.50%) [VERIFIED]",,,,No,Yes,No,"2,3,4,5,6",26,22,194,30307,10409,68277,2022-08-22,aug,2022,False,,,0.013999999999999999,0.013999999999999999,0.013999999999999999,False,0.0,250000.0,,False,0.0105,0.0105,0.0105,False,250001.0,500000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,500001.0,1000000.0,,False,0.006,0.006,0.006,False,1000001.0,2000000.0,,False,0.005,0.005,0.005,False,0.0,inf,2000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.013999999999999999), (2, 250001.0, 0.0105), (3, 500001.0, 0.006999999999999999), (4, 1000001.0, 0.006)], [(5, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104549_372015_1_20220819_fees_section.txt.txt,No,"$0 - $1,000,000 (1.10%) [VERIFIED]","$1,000,001 - $2,000,000 (0.90%) [VERIFIED]","$2,000,001 - $5,000,000 (0.75%) [VERIFIED]","$5,000,001 - $10,000,000 (0.50%) [VERIFIED]","$10,000,001 - $15,000,000 (0.40%) [VERIFIED]","$15,000,000+ (0.30%) [VERIFIED]","$3,000,001+ (0.55%) [VERIFIED]",,"$1,000,000 [VERIFIED]",Yes,No,"2,3,4,5,6,7,8,10",8,8,28,7919,104549,372015,2022-08-19,aug,2022,False,,,0.011000000000000001,0.011000000000000001,0.011000000000000001,False,0.0,1000000.0,,False,0.009000000000000001,0.009000000000000001,0.009000000000000001,False,1000001.0,2000000.0,,False,0.0075,0.0075,0.0075,False,2000001.0,5000000.0,,False,0.005,0.005,0.005,False,5000001.0,10000000.0,,False,0.004,0.004,0.004,False,10000001.0,15000000.0,,False,0.003,0.003,0.003,False,0.0,inf,15000000.0,True,0.0055000000000000005,0.0055000000000000005,0.0055000000000000005,False,0.0,inf,3000001.0,True,,,,False,,,,False,1000000.0,1,1,0.0,0.6153846153846154,"[[(1, 0.0, 0.011000000000000001), (2, 1000001.0, 0.009000000000000001), (3, 2000001.0, 0.0075), (4, 5000001.0, 0.005), (5, 10000001.0, 0.004)], [(6, 0.0, 0.003)], [(7, 0.0, 0.0055000000000000005)]]",3,0.003,0.003,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104623_16847_17_20220823_fees_section.txt.txt,No,"$0 - $2,000,000 (1.0%) [VERIFIED]","$2,000,001 - $5,000,000 (0.75%) [VERIFIED]","$5,000,001 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.50%) [VERIFIED]","$0 - $2,000,000 (0.60%) [VERIFIED]","$2,000,001 - $5,000,000 (0.50%) [VERIFIED]","$5,000,001 - $10,000,000 (0.40%) [VERIFIED]","$10,000,001+ (0.35%) [VERIFIED]",No,Yes,No,"2,3,4,5,6,7,8,9",8,12,18,2470,104623,16847,2022-08-23,aug,2022,False,,,0.01,0.01,0.01,False,0.0,2000000.0,,False,0.0075,0.0075,0.0075,False,2000001.0,5000000.0,,False,0.006,0.006,0.006,False,5000001.0,10000000.0,,False,0.005,0.005,0.005,False,0.0,inf,10000001.0,True,0.006,0.006,0.006,False,0.0,2000000.0,,False,0.005,0.005,0.005,False,2000001.0,5000000.0,,False,0.004,0.004,0.004,False,5000001.0,10000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,0.0,inf,10000001.0,True,0.0,0,1,0.0,0.6153846153846154,"[[(1, 0.0, 0.01), (2, 2000001.0, 0.0075), (3, 5000001.0, 0.006)], [(4, 0.0, 0.005)], [(5, 0.0, 0.006), (6, 2000001.0, 0.005), (7, 5000001.0, 0.004)], [(8, 0.0, 0.0034999999999999996)]]",4,0.0034999999999999996,0.0035,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104623_39339_15_20220823_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,5649,104623,39339,2022-08-23,aug,2022,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104643_371618_1_20220803_fees_section.txt.txt,"$1,200 [VERIFIED]",,,,,,,,1.00% [VERIFIED],No,Yes,No,"1,9",2,3,61,10599,104643,371618,2022-08-03,aug,2022,"$1,200 [VERIFIED]",1200.0,"$1,200 [VERIFIED]",,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.01,0.01,0.01,False,,,,False,0.0,0,1,0.0,0.15384615384615385,[],0,,,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104727_299183_7_20220818_fees_section.txt.txt,No,"$0 - $500,000 (0.50%) [VERIFIED]","$500,001 - $1,000,000 (0.75%) [VERIFIED]","$1,000,001 - $2,000,000 (1.00%) [VERIFIED]","$2,000,001 - $4,000,000 (1.50%) [VERIFIED]","$4,000,001+ (2.00%) [VERIFIED]",,,,No,Yes,No,"2,3,4,5,6",3,0,41,8901,104727,299183,2022-08-18,aug,2022,False,,,0.005,0.005,0.005,False,0.0,500000.0,,False,0.0075,0.0075,0.0075,False,500001.0,1000000.0,,False,0.01,0.01,0.01,False,1000001.0,2000000.0,,False,0.015,0.015,0.015,False,2000001.0,4000000.0,,False,0.02,0.02,0.02,False,0.0,inf,4000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.005), (2, 500001.0, 0.0075), (3, 1000001.0, 0.01), (4, 2000001.0, 0.015)], [(5, 0.0, 0.02)]]",2,0.006249997499999999,0.012249998000000002,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\104914_371230_2_20220810_fees_section.txt.txt,No,"$0 - $3,000,000 (1.50%) [VERIFIED]","$3,000,001 - $5,000,000 (1.00%) [VERIFIED]","$5,000,001+ (0.75%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",32,25,58,8252,104914,371230,2022-08-10,aug,2022,False,,,0.015,0.015,0.015,False,0.0,3000000.0,,False,0.01,0.01,0.01,False,3000001.0,5000000.0,,False,0.0075,0.0075,0.0075,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.015), (2, 3000001.0, 0.01)], [(3, 0.0, 0.0075)]]",2,0.0075,0.0075,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\105039_371576_1_20220802_fees_section.txt.txt,"$7,500 [VERIFIED]","$0 - $2,000,000 (1.0%) [VERIFIED]","$2,000,001 - $3,000,000 (0.60%) [VERIFIED]","$3,000,001 - $5,000,000 (0.50%) [VERIFIED]","$5,000,001 - $20,000,000 (0.35%) [VERIFIED]","$20,000,001+ (0.30%) [VERIFIED]",,,,No,Yes,No,"1,2,3,4,5,6",5,6,40,6256,105039,371576,2022-08-02,aug,2022,"$7,500 [VERIFIED]",7500.0,"$7,500 [VERIFIED]",0.01,0.01,0.01,False,0.0,2000000.0,,False,0.006,0.006,0.006,False,2000001.0,3000000.0,,False,0.005,0.005,0.005,False,3000001.0,5000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,5000001.0,20000000.0,,False,0.003,0.003,0.003,False,0.0,inf,20000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.01), (2, 2000001.0, 0.006), (3, 3000001.0, 0.005), (4, 5000001.0, 0.0034999999999999996)], [(5, 0.0, 0.003)]]",2,0.003,0.003,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
adv_brochures_2022_aug.zip_extracted\105203_371579_1_20220802_fees_section.txt.txt,No,"$0 - $500,000 (1.00%) [VERIFIED]","$500,001 - $3,000,000 (0.75%) [VERIFIED]","$3,000,001 - $5,000,000 (0.50%) [VERIFIED]","$5,000,001 - $10,000,000 (0.40%) [VERIFIED]","$10,000,001+ (Negotiable) [VERIFIED]",,,,No,Yes,No,"2,3,4,5,6",17,11,111,12832,105203,371579,2022-08-02,aug,2022,False,,,0.01,0.01,0.01,False,0.0,500000.0,,False,0.0075,0.0075,0.0075,False,500001.0,3000000.0,,False,0.005,0.005,0.005,False,3000001.0,5000000.0,,False,0.004,0.004,0.004,False,5000001.0,10000000.0,,False,,,,False,10000001.0,inf,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.01), (2, 500001.0, 0.0075), (3, 3000001.0, 0.005), (4, 5000001.0, 0.004)]]",1,0.008750002500000001,0.006750001000000001,2025-05-08 10:29:21,fee_analysis_adv_brochures_2022_aug.zip_extracted.csv
