File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
adv_brochures_2022_mar_7.zip_extracted\301896_318093_5_20220331_fees_section.txt.txt,No,"$0 - $250,000 (0.19% - 1.81%) [VERIFIED]","$250,001 - $500,000 (0.19% - 1.31%) [VERIFIED]","$500,001 - $1,000,000 (0.19% - 1.25%) [VERIFIED]","$1,000,001 - $2,000,000 (0.19% - 1.21%) [VERIFIED]","$2,000,001 - $5,000,000 (0.19% - 1.20%) [VERIFIED]","$5,000,001+ (0.19% - 1.20%) [VERIFIED]",,,No,Yes,No,"2,3,4,5,6,7",40,9,133,21791,301896,318093,2022-03-31,mar,2022,False,,,0.0019,0.0181,0.0181,True,0.0,250000.0,,False,0.0019,0.0131,,True,250001.0,500000.0,,False,0.0019,0.0125,,True,500001.0,1000000.0,,False,0.0019,0.0121,,True,1000001.0,2000000.0,,False,0.0019,0.012,,True,2000001.0,5000000.0,,False,0.0019,0.012,,True,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0, 0.0019), (2, 0, 0.0019), (3, 0, 0.0019), (4, 0, 0.0019), (5, 0, 0.0019), (6, 0, 0.0019)], [(1, 0, 0.0181), (2, 0, 0.0131), (3, 0, 0.0125), (4, 0, 0.0121), (5, 0, 0.012), (6, 0, 0.012)]]",2,0.0019,0.0019,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301896_340265_5_20220331_fees_section.txt.txt,No,,,,,,,"$0 - $35,000 (0.28% - 0.35%) [VERIFIED]",,,Yes,No,8,0,0,28,6033,301896,340265,2022-03-31,mar,2022,False,,,,,0.0034999999999999996,False,,,,False,,,0.0028000000000000004,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0028000000000000004,0.0034999999999999996,,True,0.0,35000.0,,False,,,,False,,,,False,0.0,0,1,0.0,0.07692307692307693,"[[(1, 0, 0.0028000000000000004)]]",1,0.0028000000000000004,0.0028000000000000004,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301896_342757_4_20220331_fees_section.txt.txt,No,"$2,300 - $6,000 (N/A) [VERIFIED]","$1,700 - $4,000 (N/A) [VERIFIED]","$1,100 - $3,000 (N/A) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",0,3,9,5512,301896,342757,2022-03-31,mar,2022,False,,,,,,False,2300.0,6000.0,,False,,,,False,1700.0,4000.0,,False,,,,False,1100.0,3000.0,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,[],0,,,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301896_360499_2_20220331_fees_section.txt.txt,No,,,,,,,,0.15% - 0.25% [VERIFIED],"$5,000 [VERIFIED]",Yes,No,"9,10",1,4,39,6574,301896,360499,2022-03-31,mar,2022,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0015,0.0015,0.0015,False,,,,False,5000.0,1,1,0.0,0.15384615384615385,[],0,,,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301896_367995_1_20220331_fees_section.txt.txt,No,,,,,,,,$0+ (0.30% - 0.40%) [VERIFIED],No,Yes,No,9,0,0,14,2479,301896,367995,2022-03-31,mar,2022,False,,,,,0.004,False,,,,False,,,0.003,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.003,0.004,,True,0.0,inf,0.0,True,0.0,1,1,0.0,0.07692307692307693,"[[(1, 0, 0.003)]]",1,0.003,0.003,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301898_317404_4_20220331_fees_section.txt.txt,No,,,,,,,,$0 - $X (20-30%) [VERIFIED],No,Yes,No,9,1,0,18,5197,301898,317404,2022-03-31,mar,2022,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.3,0.3,0.3,False,0.0,0.0,,False,0.0,0,1,0.0,0.07692307692307693,"[[(8, 0.0, 0.3)]]",1,0.3,0.3,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301900_364418_1_20220324_fees_section.txt.txt,"$500,000 (Flat Rate) [VERIFIED]","$0 - $500,000 (0.10% - 0.40%) [VERIFIED]",,,,,,,,No,Yes,No,"1,2",2,1,41,7302,301900,364418,2022-03-24,mar,2022,"$500,000 (Flat Rate) [VERIFIED]",500000.0,"$500,000 (Flat Rate) [VERIFIED]",0.001,0.004,0.004,True,0.0,500000.0,,False,,,0.001,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.15384615384615385,"[[(1, 0, 0.001)]]",1,0.001,0.001,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301911_318587_10_20220324_fees_section.txt.txt,0.3% [VERIFIED],,,,,,,,30% [VERIFIED],"$1,000,000 [VERIFIED]",Yes,No,"1,9,10",2,1,27,29944,301911,318587,2022-03-24,mar,2022,0.3% [VERIFIED],0.003,0.3% [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.3,0.3,0.3,False,,,,False,1000000.0,1,1,0.0,0.23076923076923078,[],0,,,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301918_366310_1_20220330_fees_section.txt.txt,No,,,,,,,,1.60% - 2.00% [VERIFIED],No,No,No,9,3,0,13,2025,301918,366310,2022-03-30,mar,2022,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.016,0.016,0.016,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
adv_brochures_2022_mar_7.zip_extracted\301925_334591_4_20220329_fees_section.txt.txt,No,,,,,,,,,"$1,000,000 [VERIFIED]",Yes,No,10,7,1,42,7021,301925,334591,2022-03-29,mar,2022,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,1000000.0,1,1,0.0,0.07692307692307693,[],0,,,2025-05-08 10:29:27,fee_analysis_adv_brochures_2022_mar_7.zip_extracted.csv
