File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
formadv_part2_61_extracted\152566_34088_2_20111221_fees_section.txt.txt,No fee information available.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,275,152566,34088,2011-12-21,,2011,No fee information available.,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152574_29189_1_20101117_fees_section.txt.txt,No fee information available.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,152574,29189,2010-11-17,,2010,No fee information available.,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152576_52215_1_20110404_fees_section.txt.txt,No,"$1 - $5,000,000 (0.80%) [VERIFIED]","$5,000,001 - $10,000,000 (0.70%) [VERIFIED]","$10,000,001+ (0.60%) [VERIFIED]",,,,,,"$10,000 [VERIFIED]",Yes,No,"2,3,4,10",18,15,43,7084,152576,52215,2011-04-04,,2011,False,,,0.008,0.008,0.008,False,1.0,5000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,5000001.0,10000000.0,,False,0.006,0.006,0.006,False,0.0,inf,10000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,10000.0,1,1,0.0,0.3076923076923077,"[[(1, 1.0, 0.008), (2, 5000001.0, 0.006999999999999999)], [(3, 0.0, 0.006)]]",2,0.006,0.006,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152576_52215_2_20110505_fees_section.txt.txt,"$2,000 [VERIFIED]","$1 - $5,000,000 (0.80%) [VERIFIED]","$5,000,001 - $10,000,000 (0.70%) [VERIFIED]","$10,000,001+ (0.60%) [VERIFIED]",,,,,,"$10,000 [VERIFIED]",Yes,No,"1,2,3,4,10",18,15,44,7152,152576,52215,2011-05-05,,2011,"$2,000 [VERIFIED]",2000.0,"$2,000 [VERIFIED]",0.008,0.008,0.008,False,1.0,5000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,5000001.0,10000000.0,,False,0.006,0.006,0.006,False,0.0,inf,10000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,10000.0,1,1,0.0,0.38461538461538464,"[[(1, 1.0, 0.008), (2, 5000001.0, 0.006999999999999999)], [(3, 0.0, 0.006)]]",2,0.006,0.006,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152576_52215_3_20120313_fees_section.txt.txt,No,"$1 - $5,000,000 (0.80%) [VERIFIED]","$5,000,001 - $10,000,000 (0.70%) [VERIFIED]","$10,000,001+ (0.60%) [VERIFIED]",,,,,,"$10,000 [VERIFIED]",Yes,No,"2,3,4,10",18,15,44,7153,152576,52215,2012-03-13,,2012,False,,,0.008,0.008,0.008,False,1.0,5000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,5000001.0,10000000.0,,False,0.006,0.006,0.006,False,0.0,inf,10000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,10000.0,1,1,0.0,0.3076923076923077,"[[(1, 1.0, 0.008), (2, 5000001.0, 0.006999999999999999)], [(3, 0.0, 0.006)]]",2,0.006,0.006,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152576_72467_1_20120313_fees_section.txt.txt,No fee information available.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,131,152576,72467,2012-03-13,,2012,No fee information available.,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152577_42428_1_20110329_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,18,2534,152577,42428,2011-03-29,,2011,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152578_62982_1_20110922_fees_section.txt.txt,No,,,,,,,,$0+ (2.55%) [VERIFIED],No,Yes,No,9,2,0,8,953,152578,62982,2011-09-22,,2011,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0255,0.0255,0.0255,False,0.0,inf,0.0,True,0.0,0,1,0.0,0.07692307692307693,"[[(8, 0.0, 0.0255)]]",1,0.0255,0.0255,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152578_62982_2_20120802_fees_section.txt.txt,No,,,,,,,,Retail class (2.55%) [VERIFIED],Institutional class (1.80%) [VERIFIED],No,No,"9,10",2,0,8,952,152578,62982,2012-08-02,,2012,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0255,0.0255,0.0255,False,,,,False,0.0,0,0,0.0,0.15384615384615385,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
formadv_part2_61_extracted\152578_62982_3_20130529_fees_section.txt.txt,No,,,,,,,,Retail class (2.55%) [VERIFIED],Institutional class (1.80%) [VERIFIED],No,No,"9,10",2,0,8,952,152578,62982,2013-05-29,,2013,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0255,0.0255,0.0255,False,,,,False,0.0,0,0,0.0,0.15384615384615385,[],0,,,2025-05-08 10:30:58,fee_analysis_formadv_part2_61_extracted.csv
