File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
part2adv_brochures_2023_feb.zip_extracted\104068_46917_17_20230214_fees_section.txt.txt,No,"$0 - $3,750 (1.00%) [VERIFIED]","$3,751+ (1.00% - 1.50%) [VERIFIED]",,,,,,,$0 [VERIFIED],Yes,No,"2,3,10",3,1,19,3990,104068,46917,2023-02-14,feb,2023,False,,,0.01,0.01,0.015,False,0.0,3750.0,,False,0.01,0.015,0.01,True,0.0,inf,3751.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,3751.0,1,1,0.0,0.23076923076923078,"[[(1, 0, 0.01)]]",1,0.01,0.01,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\10409_273030_24_20230224_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,12,11,255,52739,10409,273030,2023-02-24,feb,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\10409_314715_16_20230224_fees_section.txt.txt,No,"$0 - $1,000,000 (0.45%) [VERIFIED]","$1,000,001 - $2,000,000 (0.40%) [VERIFIED]","$2,000,001 - $3,000,000 (0.35%) [VERIFIED]","$3,000,001 - $10,000,000 (0.30%) [VERIFIED]","$10,000,001 - $25,000,000 (0.25%) [VERIFIED]","$25,000,001+ (0.20%) [VERIFIED]",,,,Yes,,"2,3,4,5,6,7",17,14,175,44963,10409,314715,2023-02-24,feb,2023,False,,,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,False,0.0,1000000.0,,False,0.004,0.004,0.004,False,1000001.0,2000000.0,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,2000001.0,3000000.0,,False,0.003,0.003,0.003,False,3000001.0,10000000.0,,False,0.0025,0.0025,0.0025,False,10000001.0,25000000.0,,False,0.002,0.002,0.002,False,0.0,inf,25000001.0,True,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.0045000000000000005), (2, 1000001.0, 0.004), (3, 2000001.0, 0.0034999999999999996), (4, 3000001.0, 0.003), (5, 10000001.0, 0.0025)], [(6, 0.0, 0.002)]]",2,0.002,0.002,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\10409_68277_54_20230224_fees_section.txt.txt,No,"$0 - $250,000 (1.40%) [VERIFIED]","$250,001 - $500,000 (1.05%) [VERIFIED]","$500,001 - $1,000,000 (0.70%) [VERIFIED]","$1,000,001 - $2,000,000 (0.60%) [VERIFIED]","$2,000,001+ (0.50%) [VERIFIED]",,,,No,Yes,,"2,3,4,5,6",27,25,190,39130,10409,68277,2023-02-24,feb,2023,False,,,0.013999999999999999,0.013999999999999999,0.013999999999999999,False,0.0,250000.0,,False,0.0105,0.0105,0.0105,False,250001.0,500000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,500001.0,1000000.0,,False,0.006,0.006,0.006,False,1000001.0,2000000.0,,False,0.005,0.005,0.005,False,0.0,inf,2000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.013999999999999999), (2, 250001.0, 0.0105), (3, 500001.0, 0.006999999999999999), (4, 1000001.0, 0.006)], [(5, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104517_354639_5_20230228_fees_section.txt.txt,No,,,,,,,"$0 - $5,000,000 (0.35%) [VERIFIED]","$5,000,001 - $10,000,000 (0.30%) [VERIFIED]","$10,000,001 - $50,000,000 (0.20%) [VERIFIED]","$50,000,001+ (0.15%) [VERIFIED]",,"8,9,10,11",12,4,7,2174,104517,354639,2023-02-28,feb,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,0.0,5000000.0,,False,0.003,0.003,0.003,False,5000001.0,10000000.0,,False,10000001.0,1,0,0.0,0.3076923076923077,"[[(7, 0.0, 0.0034999999999999996), (8, 5000001.0, 0.003)]]",1,0.0034999999999999996,0.0035,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104548_364571_3_20230223_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,104548,364571,2023-02-23,feb,2023,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104553_38329_23_20230208_fees_section.txt.txt,No,,,,,,,,$0+ (0.25% - 2.75%) [VERIFIED],No,Yes,No,9,3,5,54,11139,104553,38329,2023-02-08,feb,2023,False,,,,,0.0275,False,,,,False,,,0.0025,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0025,0.0275,,True,0.0,inf,0.0,True,0.0,1,1,0.0,0.07692307692307693,"[[(1, 0, 0.0025)]]",1,0.0025,0.0025,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104556_348698_4_20230202_fees_section.txt.txt,No,"$0 - $1,000,000 (2.50%) [VERIFIED]","$1,000,001 - $3,000,000 (2.45%) [VERIFIED]","$3,000,001 - $5,000,000 (2.40%) [VERIFIED]","$5,000,001 - $10,000,000 (2.30%) [VERIFIED]","$10,000,001+ (Negotiable) [VERIFIED]",,,,"$15,000 [VERIFIED]",Yes,No,"2,3,4,5,6,10",34,41,275,68275,104556,348698,2023-02-02,feb,2023,False,,,0.025,0.025,0.025,False,0.0,1000000.0,,False,0.0245,0.0245,0.0245,False,1000001.0,3000000.0,,False,0.024,0.024,0.024,False,3000001.0,5000000.0,,False,0.023,0.023,0.023,False,5000001.0,10000000.0,,False,,,,False,10000001.0,inf,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,15000.0,1,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.025), (2, 1000001.0, 0.0245), (3, 3000001.0, 0.024), (4, 5000001.0, 0.023)]]",1,0.025,0.024400000199999997,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104621_43779_17_20230224_fees_section.txt.txt,"$800 - $7,000 [VERIFIED]",,,,,,,,$0+ (2.25%) [VERIFIED],"$250,000 [VERIFIED]",Yes,No,"1,9,10",3,7,64,12408,104621,43779,2023-02-24,feb,2023,"$800 - $7,000 [VERIFIED]",800.0,"$800 - $7,000 [VERIFIED]",,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0225,0.0225,0.0225,False,0.0,inf,0.0,True,250000.0,1,1,0.0,0.23076923076923078,"[[(8, 0.0, 0.0225)]]",1,0.0225,0.0225,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
part2adv_brochures_2023_feb.zip_extracted\104627_96272_24_20230209_fees_section.txt.txt,No,"$0 - $500,000 (1.20%) [VERIFIED]","$500,001 - $1,000,000 (1.00%) [VERIFIED]","$1,000,001+ (0.80%) [VERIFIED]",,,,,,"$500,000 [VERIFIED]",Yes,No,"2,3,4,10",10,7,31,3809,104627,96272,2023-02-09,feb,2023,False,,,0.012,0.012,0.012,False,0.0,500000.0,,False,0.01,0.01,0.01,False,500001.0,1000000.0,,False,0.008,0.008,0.008,False,0.0,inf,1000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,500000.0,1,1,0.0,0.3076923076923077,"[[(1, 0.0, 0.012), (2, 500001.0, 0.01)], [(3, 0.0, 0.008)]]",2,0.008,0.008,2025-05-08 10:32:06,fee_analysis_part2adv_brochures_2023_feb.zip_extracted.csv
