File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
part2adv_brochures_2023_jan.zip_extracted\104517_375664_1_20230118_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,106,22,25,12472,104517,375664,2023-01-18,jan,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104537_376207_1_20230131_fees_section.txt.txt,No,"$0 - $1,000,000 (0.80%) [VERIFIED]","$1,000,001+ (0.50%) [VERIFIED]","$1,000,000 - $3,000,000 (0.40%) [VERIFIED]","$3,000,001 - $6,000,000 (0.20%) [VERIFIED]","$6,000,001+ (0.10%) [VERIFIED]","$0 - $500,000 (0.80%) [VERIFIED]","$500,001+ (0.50%) [VERIFIED]",,,Yes,,"2,3,4,5,6,7,8",8,15,29,2712,104537,376207,2023-01-31,jan,2023,False,,,0.008,0.008,0.008,False,0.0,1000000.0,,False,0.005,0.005,0.005,False,0.0,inf,1000001.0,True,0.004,0.004,0.004,False,1000000.0,3000000.0,,False,0.002,0.002,0.002,False,3000001.0,6000000.0,,False,0.001,0.001,0.001,False,0.0,inf,6000001.0,True,0.008,0.008,0.008,False,0.0,500000.0,,False,0.005,0.005,0.005,False,0.0,inf,500001.0,True,,,,False,,,,False,0.0,0,1,0.0,0.5384615384615384,"[[(1, 0.0, 0.008)], [(2, 0.0, 0.005), (3, 1000000.0, 0.004), (4, 3000001.0, 0.002)], [(5, 0.0, 0.001)], [(6, 0.0, 0.008)], [(7, 0.0, 0.005)]]",5,0.001,0.001,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104555_293084_9_20230110_fees_section.txt.txt,No,"$0 - $100,000 (0.85%) [VERIFIED]","$100,001 - $250,000 (0.80%) [VERIFIED]","$250,001+ (0.70%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",10,4,56,11242,104555,293084,2023-01-10,jan,2023,False,,,0.0085,0.0085,0.0085,False,0.0,100000.0,,False,0.008,0.008,0.008,False,100001.0,250000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,0.0,inf,250001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.0085), (2, 100001.0, 0.008)], [(3, 0.0, 0.006999999999999999)]]",2,0.006999999999999999,0.007,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104619_41982_17_20230119_fees_section.txt.txt,No,"$0 - $499,999 (1.00%) [VERIFIED]","$500,000 - $749,999 (0.95%) [VERIFIED]","$750,000 - $999,999 (0.85%) [VERIFIED]","$1,000,000 - $1,499,999 (0.80%) [VERIFIED]","$1,500,000+ (0.75%) [VERIFIED]",,,,"$750,000 [VERIFIED]",Yes,,"2,3,4,5,6,10",5,15,69,20294,104619,41982,2023-01-19,jan,2023,False,,,0.01,0.01,0.01,False,0.0,499999.0,,False,0.0095,0.0095,0.0095,False,500000.0,749999.0,,False,0.0085,0.0085,0.0085,False,750000.0,999999.0,,False,0.008,0.008,0.008,False,1000000.0,1499999.0,,False,0.0075,0.0075,0.0075,False,0.0,inf,1500000.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,750000.0,1,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.01), (2, 500000.0, 0.0095), (3, 750000.0, 0.0085), (4, 1000000.0, 0.008)], [(5, 0.0, 0.0075)]]",2,0.0075,0.0075,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104716_361673_2_20230110_fees_section.txt.txt,No,"$0 - $1,000,000 (1.0%) [VERIFIED]","$1,000,001 - $3,000,000 (0.7%) [VERIFIED]","$3,000,001+ (0.5%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",15,12,40,7072,104716,361673,2023-01-10,jan,2023,False,,,0.01,0.01,0.01,False,0.0,1000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,1000001.0,3000000.0,,False,0.005,0.005,0.005,False,0.0,inf,3000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.01), (2, 1000001.0, 0.006999999999999999)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104716_375388_1_20230110_fees_section.txt.txt,No,"$0 - $1,000,000 (1.0%) [VERIFIED]","$1,000,001 - $3,000,000 (0.7%) [VERIFIED]","$3,000,001+ (0.5%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",15,12,40,7072,104716,375388,2023-01-10,jan,2023,False,,,0.01,0.01,0.01,False,0.0,1000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,1000001.0,3000000.0,,False,0.005,0.005,0.005,False,0.0,inf,3000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.01), (2, 1000001.0, 0.006999999999999999)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104729_375305_1_20230106_fees_section.txt.txt,0.94% [UNVERIFIED],,,,,,,,5% of appreciation over 20% [VERIFIED],No,No,No,9,7,0,14,1559,104729,375305,2023-01-06,jan,2023,0.94% [UNVERIFIED],0.009399999999999999,0.94% [UNVERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.05,0.05,0.05,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104754_376192_1_20230131_fees_section.txt.txt,"$5,000 [VERIFIED]","$0 - $2,000,000 (1%) [VERIFIED]","$2,000,001 - $5,000,000 (0.60%) [VERIFIED]","$5,000,001+ (0.50%) [VERIFIED]",,,,,,"$500,000 [VERIFIED]",Yes,No,"1,2,3,4,10",4,6,39,4800,104754,376192,2023-01-31,jan,2023,"$5,000 [VERIFIED]",5000.0,"$5,000 [VERIFIED]",0.01,0.01,0.01,False,0.0,2000000.0,,False,0.006,0.006,0.006,False,2000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,500000.0,1,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.01), (2, 2000001.0, 0.006)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104764_375550_1_20230113_fees_section.txt.txt,No fee information available.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,104764,375550,2023-01-13,jan,2023,No fee information available.,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104777_36101_37_20230131_fees_section.txt.txt,"$125 - $1,000 [VERIFIED]","$0 - $500,000 (1.50%) [VERIFIED]","$500,001 - $1,000,000 (1.25%) [VERIFIED]","$1,000,001+ (Negotiated) [VERIFIED]","$0 - $500,000 (1.00%) [VERIFIED]","$500,001+ (Negotiated) [VERIFIED]",,,,No,Yes,No,"1,2,3,4,5,6",3,9,59,5935,104777,36101,2023-01-31,jan,2023,"$125 - $1,000 [VERIFIED]",125.0,"$125 - $1,000 [VERIFIED]",0.015,0.015,0.015,False,0.0,500000.0,,False,0.0125,0.0125,0.0125,False,500001.0,1000000.0,,False,,,,False,1000001.0,inf,,False,0.01,0.01,0.01,False,0.0,500000.0,,False,,,,False,500001.0,inf,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.015), (2, 500001.0, 0.0125)], [(4, 0.0, 0.01)]]",2,0.01,0.01,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104890_36898_10_20230103_fees_section.txt.txt,No,,,,,,,,$0+ (1.65%) [VERIFIED],No,Yes,No,9,1,1,22,2583,104890,36898,2023-01-03,jan,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0165,0.0165,0.0165,False,0.0,inf,0.0,True,0.0,0,1,0.0,0.07692307692307693,"[[(8, 0.0, 0.0165)]]",1,0.0165,0.0165,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\104969_65642_21_20230117_fees_section.txt.txt,No,"$0 - $5,000,000 (1.00%) [VERIFIED]","$5,000,001 - $10,000,000 (0.75%) [VERIFIED]","$10,000,001 - $25,000,000 (0.50%) [VERIFIED]","$25,000,001+ (0.40%) [VERIFIED]",,,,0.18% - 1.50% [VERIFIED],No,Yes,No,"2,3,4,5,9",6,3,34,3596,104969,65642,2023-01-17,jan,2023,False,,,0.01,0.01,0.01,False,0.0,5000000.0,,False,0.0075,0.0075,0.0075,False,5000001.0,10000000.0,,False,0.005,0.005,0.005,False,10000001.0,25000000.0,,False,0.004,0.004,0.004,False,0.0,inf,25000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0018,0.0018,0.0018,False,,,,False,0.0,0,1,0.0,0.38461538461538464,"[[(1, 0.0, 0.01), (2, 5000001.0, 0.0075), (3, 10000001.0, 0.005)], [(4, 0.0, 0.004)]]",2,0.004,0.004,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\105072_359711_2_20230112_fees_section.txt.txt,No,"$50,000 - $249,999 (1.25%) [VERIFIED]","$250,000 - $499,999 (1.00%) [VERIFIED]","$500,000 - $749,999 (0.85%) [VERIFIED]","$750,000 - $999,999 (0.75%) [VERIFIED]","$1,000,000+ (0.65%) [VERIFIED]",,,,"$50,000 [VERIFIED]",Yes,No,"2,3,4,5,6,10",5,13,37,6677,105072,359711,2023-01-12,jan,2023,False,,,0.0125,0.0125,0.0125,False,50000.0,249999.0,,False,0.01,0.01,0.01,False,250000.0,499999.0,,False,0.0085,0.0085,0.0085,False,500000.0,749999.0,,False,0.0075,0.0075,0.0075,False,750000.0,999999.0,,False,0.006500000000000001,0.006500000000000001,0.006500000000000001,False,0.0,inf,1000000.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,50000.0,1,1,0.0,0.46153846153846156,"[[(1, 50000.0, 0.0125), (2, 250000.0, 0.01), (3, 500000.0, 0.0085), (4, 750000.0, 0.0075)], [(5, 0.0, 0.006500000000000001)]]",2,0.006500000000000001,0.006500000000000001,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\105103_295869_11_20230124_fees_section.txt.txt,"""No fee information available.""",,,,,,,,,,,,,1,2,18,2657,105103,295869,2023-01-24,jan,2023,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.0,[],0,,,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
part2adv_brochures_2023_jan.zip_extracted\105168_376197_1_20230131_fees_section.txt.txt,No,,,,,,,,0.50% - 1.00% [VERIFIED],No,Yes,No,9,3,1,65,11491,105168,376197,2023-01-31,jan,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.005,0.005,0.005,False,,,,False,0.0,0,1,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:07,fee_analysis_part2adv_brochures_2023_jan.zip_extracted.csv
