File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,Adviser_ID1,Adviser_ID2,Filing_Date,Month,Filing_Year,Flat_Fee_Flag,Flat_Fee_Value,Flat_Fee_Original,Fee_Pct_Min_1,Fee_Pct_Max_1,Fee_Pct_1,Fee_Is_Range_1,Threshold_Lower_1,Threshold_Upper_1,Min_Fee_1,Has_Min_Fee_1,Fee_Pct_Min_2,Fee_Pct_Max_2,Fee_Pct_2,Fee_Is_Range_2,Threshold_Lower_2,Threshold_Upper_2,Min_Fee_2,Has_Min_Fee_2,Fee_Pct_Min_3,Fee_Pct_Max_3,Fee_Pct_3,Fee_Is_Range_3,Threshold_Lower_3,Threshold_Upper_3,Min_Fee_3,Has_Min_Fee_3,Fee_Pct_Min_4,Fee_Pct_Max_4,Fee_Pct_4,Fee_Is_Range_4,Threshold_Lower_4,Threshold_Upper_4,Min_Fee_4,Has_Min_Fee_4,Fee_Pct_Min_5,Fee_Pct_Max_5,Fee_Pct_5,Fee_Is_Range_5,Threshold_Lower_5,Threshold_Upper_5,Min_Fee_5,Has_Min_Fee_5,Fee_Pct_Min_6,Fee_Pct_Max_6,Fee_Pct_6,Fee_Is_Range_6,Threshold_Lower_6,Threshold_Upper_6,Min_Fee_6,Has_Min_Fee_6,Fee_Pct_Min_7,Fee_Pct_Max_7,Fee_Pct_7,Fee_Is_Range_7,Threshold_Lower_7,Threshold_Upper_7,Min_Fee_7,Has_Min_Fee_7,Fee_Pct_Min_8,Fee_Pct_Max_8,Fee_Pct_8,Fee_Is_Range_8,Threshold_Lower_8,Threshold_Upper_8,Min_Fee_8,Has_Min_Fee_8,Min_Investment_Amount,Has_Min_Investment,Is_Negotiable,Negotiable_Threshold,Verification_Ratio,Products,Num_Products,Effective_Fee_1M,Effective_Fee_5M,Processing_Timestamp,Source_Filename
part2adv_brochures_2023_mar_8.zip_extracted\283540_257905_24_20230323_fees_section.txt.txt,0.60% [VERIFIED],,,,,,,,,No,Yes,No,1,2,3,53,5923,283540,257905,2023-03-23,mar,2023,0.60% [VERIFIED],0.006,0.60% [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283549_257335_8_20230330_fees_section.txt.txt,No,"$0 - $3,000,000 (1.0%) [VERIFIED]","$3,000,001 - $5,000,000 (0.7%) [VERIFIED]","$5,000,001+ (0.5%) [VERIFIED]",,,,,,No,Yes,No,"2,3,4",3,3,21,1953,283549,257335,2023-03-30,mar,2023,False,,,0.01,0.01,0.01,False,0.0,3000000.0,,False,0.006999999999999999,0.006999999999999999,0.006999999999999999,False,3000001.0,5000000.0,,False,0.005,0.005,0.005,False,0.0,inf,5000001.0,True,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.23076923076923078,"[[(1, 0.0, 0.01), (2, 3000001.0, 0.006999999999999999)], [(3, 0.0, 0.005)]]",2,0.005,0.005,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283573_305959_9_20230330_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,2,0,12,1000,283573,305959,2023-03-30,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283576_262002_8_20230320_fees_section.txt.txt,2% (Fee %) [VERIFIED],,,,,,,,,No,No,No,1,1,0,18,3999,283576,262002,2023-03-20,mar,2023,2% (Fee %) [VERIFIED],0.02,2% (Fee %) [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283588_257938_25_20230330_fees_section.txt.txt,No,"$500 - $5,000 (N/A) [VERIFIED]",,,,,,,,No,Yes,No,2,1,3,30,4061,283588,257938,2023-03-30,mar,2023,False,,,,,,False,500.0,5000.0,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283605_257567_24_20230331_fees_section.txt.txt,No,"$0 - $99,999.99 (1.00%) [VERIFIED]","$100,000 - $999,999.99 (0.85%) [VERIFIED]","$1,000,000 - $2,499,999.99 (0.75%) [VERIFIED]","$2,500,000 - $4,999,999.99 (0.65%) [VERIFIED]","$5,000,000 - $9,999,999.99 (0.55%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.45%) [VERIFIED]","$20,000,000 - $49,999,999.99 (0.35%) [VERIFIED]","$50,000,000+ (Negotiable) [VERIFIED]",,Yes,,"2,3,4,5,6,7,8,9",8,21,50,14707,283605,257567,2023-03-31,mar,2023,False,,,0.01,0.01,0.01,False,0.0,99999.99,,False,0.0085,0.0085,0.0085,False,100000.0,999999.99,,False,0.0075,0.0075,0.0075,False,1000000.0,2499999.99,,False,0.006500000000000001,0.006500000000000001,0.006500000000000001,False,2500000.0,4999999.99,,False,0.0055000000000000005,0.0055000000000000005,0.0055000000000000005,False,5000000.0,9999999.99,,False,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,False,10000000.0,19999999.99,,False,0.0034999999999999996,0.0034999999999999996,0.0034999999999999996,False,20000000.0,49999999.99,,False,,,,False,50000000.0,inf,,False,0.0,0,1,0.0,0.6153846153846154,"[[(1, 0.0, 0.01), (2, 100000.0, 0.0085), (3, 1000000.0, 0.0075), (4, 2500000.0, 0.006500000000000001), (5, 5000000.0, 0.0055000000000000005), (6, 10000000.0, 0.0045000000000000005), (7, 20000000.0, 0.0034999999999999996)]]",1,0.00865,0.00723,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283607_319185_7_20230328_fees_section.txt.txt,No,,,,,,,,,No,No,No,,5,0,11,3317,283607,319185,2023-03-28,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.0,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283610_382581_1_20230331_fees_section.txt.txt,"""No fee information available.""",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,3,28,7576,283610,382581,2023-03-31,mar,2023,"""No fee information available.""",,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283612_318128_6_20230328_fees_section.txt.txt,1.5% per annum [VERIFIED],,,,,,,,20% of net profits [VERIFIED],No,Yes,No,"1,9",5,1,27,7503,283612,318128,2023-03-28,mar,2023,1.5% per annum [VERIFIED],0.015,1.5% per annum [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.2,0.2,0.2,False,,,,False,0.0,0,1,0.0,0.15384615384615385,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283613_264022_10_20230327_fees_section.txt.txt,No,,,,,,,,$1.0% - $2.0% [VERIFIED],,Yes,No,9,7,1,52,10851,283613,264022,2023-03-27,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.01,0.01,0.01,False,1.0,1.0,,False,0.0,0,1,0.0,0.07692307692307693,"[[(8, 1.0, 0.01)]]",1,0.01,0.01,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283613_264022_11_20230328_fees_section.txt.txt,No,,,,,,,,$1.0% - $2.0% [VERIFIED],No,Yes,No,9,7,1,52,10851,283613,264022,2023-03-28,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.01,0.01,0.01,False,1.0,1.0,,False,0.0,0,1,0.0,0.07692307692307693,"[[(8, 1.0, 0.01)]]",1,0.01,0.01,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283624_378519_1_20230314_fees_section.txt.txt,No,"$0 - $500,000 (1.50%) [VERIFIED]","$500,001 - $1,000,000 (1.25%) [VERIFIED]","$1,000,001 - $2,000,000 (1.00%) [VERIFIED]","$2,000,001 - $4,000,000 (0.75%) [VERIFIED]","$4,000,001 - $10,000,000 (0.50%) [VERIFIED]","$10,000,000+ (0.25%) [VERIFIED]",,,No,Yes,No,"2,3,4,5,6,7",3,4,66,9413,283624,378519,2023-03-14,mar,2023,False,,,0.015,0.015,0.015,False,0.0,500000.0,,False,0.0125,0.0125,0.0125,False,500001.0,1000000.0,,False,0.01,0.01,0.01,False,1000001.0,2000000.0,,False,0.0075,0.0075,0.0075,False,2000001.0,4000000.0,,False,0.005,0.005,0.005,False,4000001.0,10000000.0,,False,0.0025,0.0025,0.0025,False,0.0,inf,10000000.0,True,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.46153846153846156,"[[(1, 0.0, 0.015), (2, 500001.0, 0.0125), (3, 1000001.0, 0.01), (4, 2000001.0, 0.0075), (5, 4000001.0, 0.005)], [(6, 0.0, 0.0025)]]",2,0.0025,0.0025,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283625_333376_4_20230327_fees_section.txt.txt,No,,,,,,,,0.75% - 2.0% [VERIFIED],No,No,No,9,3,0,29,5233,283625,333376,2023-03-27,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0075,0.0075,0.0075,False,,,,False,0.0,0,0,0.0,0.07692307692307693,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283632_380189_1_20230327_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,3,4,70,9650,283632,380189,2023-03-27,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283638_309154_6_20230330_fees_section.txt.txt,1.5% [VERIFIED],,,,,,,,20% [VERIFIED],No,No,No,"1,9",3,0,13,5593,283638,309154,2023-03-30,mar,2023,1.5% [VERIFIED],0.015,1.5% [VERIFIED],,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.2,0.2,0.2,False,,,,False,0.0,0,0,0.0,0.15384615384615385,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283639_379313_1_20230321_fees_section.txt.txt,Flat Rate (Fee % or $ amount / No),Annual fee range 1 (0.40% - 1.00% / N/A) [VERIFIED],Annual fee range 2 (Range and fee % / N/A) [VERIFIED],Annual fee range 3 (Range and fee % / N/A) [UNVERIFIED],Annual fee range 4 (Range and fee % / N/A) [VERIFIED],Annual fee range 5 (Range and fee % / N/A) [UNVERIFIED],Annual fee range 6 (Range and fee % / N/A) [VERIFIED],Annual fee range 7 (Range and fee % / N/A) [UNVERIFIED],Annual fee range 8 (Range and fee % / N/A) [VERIFIED],"""Minimum investment (Amount / No)""","""Negotiable (Yes)""","""Negotiable threshold (Number / No)""","2,3,5,7,9",2,0,55,8217,283639,379313,2023-03-21,mar,2023,Flat Rate (Fee % or $ amount / No),,Flat Rate (Fee % or $ amount / No),0.004,0.004,0.004,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,0,0.0,0.38461538461538464,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
part2adv_brochures_2023_mar_8.zip_extracted\283643_257750_11_20230331_fees_section.txt.txt,No,,,,,,,,,No,Yes,No,,6,0,10,3057,283643,257750,2023-03-31,mar,2023,False,,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,0.0,0,1,0.0,0.0,[],0,,,2025-05-08 10:32:21,fee_analysis_part2adv_brochures_2023_mar_8.zip_extracted.csv
